cnt, cg_residual
1095,3.17341e-06
1096,3.09796e-06
1097,3.13822e-06
1098,3.12188e-06
1099,2.99294e-06
1100,3.1628e-06
1101,3.20478e-06
1102,3.30905e-06
1103,3.09326e-06
1104,3.2866e-06
1105,3.0706e-06
1106,3.05075e-06
1107,3.03029e-06
1108,2.84945e-06
1109,2.76707e-06
1110,2.72879e-06
1111,2.75713e-06
1112,2.73905e-06
1113,2.6536e-06
1114,2.3601e-06
1115,2.55799e-06
1116,2.54998e-06
1117,2.5291e-06
1118,2.5217e-06
1119,2.48384e-06
1120,2.48248e-06
1121,2.4666e-06
1122,2.43853e-06
1123,2.43878e-06
1124,2.38233e-06
1125,2.3165e-06
1126,2.2482e-06
1127,2.24256e-06
1128,2.22546e-06
1129,2.15826e-06
1130,1.94795e-06
1131,1.99762e-06
1132,2.05116e-06
1133,1.9774e-06
1134,1.93883e-06
1135,1.66317e-06
1136,1.9901e-06
1137,1.97042e-06
1138,1.92705e-06
1139,1.93125e-06
1140,1.92149e-06
1141,1.8529e-06
1142,1.79863e-06
1143,1.77959e-06
1144,1.71027e-06
1145,1.70448e-06
1146,1.78226e-06
1147,1.5462e-06
1148,1.76881e-06
1149,1.77198e-06
1150,1.78606e-06
1151,1.51457e-06
1152,1.75605e-06
1153,1.72488e-06
1154,1.66926e-06
1155,1.59343e-06
1156,1.5468e-06
1157,1.53649e-06
1158,1.53717e-06
1159,1.56417e-06
1160,1.54767e-06
1161,1.50496e-06
1162,1.38663e-06
1163,1.48478e-06
1164,1.49949e-06
1165,1.42996e-06
1166,1.41576e-06
1167,1.3258e-06
1168,1.40913e-06
1169,1.38152e-06
1170,1.33524e-06
1171,1.31192e-06
1172,1.32985e-06
1173,1.25813e-06
1174,1.29327e-06
1175,1.1437e-06
1176,1.32723e-06
1177,1.31889e-06
1178,1.29303e-06
1179,1.18993e-06
1180,1.21684e-06
1181,1.24068e-06
1182,1.25499e-06
1183,9.57017e-07
1184,1.20563e-06
1185,1.15198e-06
1186,1.13206e-06
1187,1.13412e-06
1188,1.12139e-06
1189,1.10362e-06
1190,1.08817e-06
1191,1.07234e-06
1192,1.08113e-06
1193,1.06215e-06
1194,1.06964e-06
1195,9.78642e-07
1196,1.01066e-06
1197,1.00453e-06
1198,9.91343e-07
1199,8.93465e-07
1200,9.70677e-07
1201,8.79387e-07
1202,8.71035e-07
1203,9.44938e-07
1204,9.35382e-07
1205,9.20602e-07
1206,8.94939e-07
1207,9.06664e-07
1208,9.04911e-07
1209,8.88366e-07
1210,8.37603e-07
1211,8.20067e-07
1212,7.96371e-07
1213,8.47992e-07
1214,8.34416e-07
1215,7.57264e-07
1216,8.29436e-07
1217,8.30704e-07
1218,8.34576e-07
1219,7.93441e-07
1220,7.73775e-07
1221,7.63095e-07
1222,7.46996e-07
1223,7.53961e-07
1224,7.35065e-07
1225,7.17899e-07
1226,7.32532e-07
1227,7.07745e-07
1228,6.69572e-07
1229,6.93219e-07
1230,6.92351e-07
1231,6.64044e-07
1232,6.76501e-07
1233,6.5319e-07
1234,6.27155e-07
1235,5.93665e-07
1236,5.74664e-07
1237,5.76206e-07
1238,5.41745e-07
1239,5.84568e-07
1240,5.89273e-07
1241,5.86512e-07
1242,5.81644e-07
1243,5.06284e-07
1244,5.6869e-07
1245,5.59613e-07
1246,5.03529e-07
1247,5.43969e-07
1248,5.24634e-07
1249,4.91172e-07
1250,4.99726e-07
1251,4.9997e-07
1252,4.88536e-07
1253,4.74659e-07
1254,4.0647e-07
1255,4.70112e-07
1256,4.61678e-07
1257,4.30142e-07
1258,4.2725e-07
1259,4.32486e-07
1260,3.9031e-07
1261,4.31548e-07
1262,4.31081e-07
